what is your name?	comment tu t'appelles?
what is your name? (formal)	comment vous vous appellez?
what is your nationality?	quelle est tu nationalité?
what age are you? 	quel âge a tu?
where do you live?	tu habites òu?
where do you live? (formal)	vous habitez òu?
I listen to music	j'écoute de la musique
I come from atlanta 	Je viens d'atlanta
there is a black dog and a black mouse	Il y a un chien noir et une souris noire
do you have a sister?	avez-vous une sœur?
Your name is Thomas.	tu t'appelles Thomas
after	après
before	avant
goodnight	bonne nuit
pretty	jolie
salut	hello
see you	à plus
see you soon	à bientôt
shy	timide
today	aujourd'hui
tomorrow	demain
yesterday	hier
